INPUT,FOUND_BY,DTXSID,PREFERRED_NAME
63-25-2,CASRN,DTXSID9020247,Carbaryl
333-41-5,CASRN,DTXSID9020407,Diazinon
298-04-4,CASRN,DTXSID0022018,Disulfoton
23135-22-0,CASRN,DTXSID6021086,Oxamyl
301-12-2,CASRN,DTXSID8025541,Oxydemeton-methyl
52645-53-1,CASRN,DTXSID8022292,Permethrin
8003-34-7,CASRN,DTXSID8034873,Pyrethrins
298-02-2,CASRN,DTXSID4032459,Phorate
86-50-0,CASRN,DTXSID3020122,Azinphos-methyl
69409-94-5,CASRN,DTXSID7024110,Fluvalinate
68359-37-5,CASRN,DTXSID5035957,Cyfluthrin
115-29-7,CASRN,DTXSID1020560,Endosulfan
23422-53-9,CASRN,DTXSID4032405,Formetanate hydrochloride
122-14-5,CASRN,DTXSID4032613,Fenitrothion
52918-63-5,CASRN,DTXSID8020381,Deltamethrin
60-51-5,CASRN,DTXSID7020479,Dimethoate
52315-07-8,CASRN,DTXSID1023998,Cypermethrin
584-79-2,CASRN,DTXSID8035180,Allethrin
138261-41-3,CASRN,DTXSID5032442,Imidacloprid
71751-41-2,CASRN,DTXSID8023892,Abamectin
10453-86-8,CASRN,DTXSID7022253,Resmethrin
91465-08-6,CASRN,DTXSID7032559,λ-Cyhalothrin
121-75-5,CASRN,DTXSID4020791,Malathion
8051-02-3,CASRN,DTXSID2034887,Sabadilla alkaloids
96489-71-3,CASRN,DTXSID5032573,Pyridaben
72-20-8,CASRN,DTXSID6020561,Endrin
50-29-3,CASRN,DTXSID4020375,DDT
60-57-1,CASRN,DTXSID9020453,Dieldrin
1910-42-5,CASRN - WARNING: Synonym mapped to two or more chemicals,DTXSID7024243,Paraquat dichloride
298-00-0,CASRN,DTXSID1020855,Methyl parathion
26002-80-2,CASRN,DTXSID7032688,Phenothrin
173584-44-6,CASRN,DTXSID1032690,Indoxacarb
210880-92-5,CASRN,DTXSID2034465,"(E)-1-(2-Chloro-1,3-thiazol-5-yl methyl)-3-methyl-2-nitroguanidine"
51596-11-3,CASRN,DTXSID4052760,Milbemectin A4
76703-62-3,CASRN,DTXSID1034501,gamma-Cyhalothrin
111988-49-9,CASRN,DTXSID7034961,Thiacloprid
165252-70-0,CASRN,DTXSID7034549,Dinotefuran
10311-84-9,CASRN,DTXSID0037522,Dialifor
120928-09-8,CASRN,DTXSID4040476,Fenazaquin
907204-31-3,CASRN,DTXSID6058215,Fluxapyroxad
946578-00-3,CASRN,DTXSID0074687,Sulfoxaflor
736994-63-1,CASRN,DTXSID2058174,Cyantraniliprole
951659-40-8,CASRN,DTXSID10872811,Flupyradifurone
120068-37-3,CASRN,DTXSID4034609,Fipronil
1031756-98-5,CASRN,DTXSID10893627,Cyclaniliprole
